name,Latitude,Longitude,Number,Street,City,State,County,Zip,url,count,total_homeless,adjusted_homeless
Operation Grace,34.101875,-117.251926,1595,E Art Townsend Dr,San Bernardino,CA,San Bernardino City & County CoC,92408,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14201,14,3125,223.21428571428572
Veronica's Home of Mercy,34.110866,-117.318258,1495,W Victoria St,San Bernardino,CA,San Bernardino City & County CoC,92411,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14598,14,3125,223.21428571428572
The Salvation Army South County Family Services,33.42435,-117.610298,616,S El Camino Real,San Clemente,CA,"Santa Ana, Anaheim/Orange County CoC",92672,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8146,27,6978,258.44444444444446
Gilchrist House,33.452122,-117.606198,930,Calle Negocio,San Clemente,CA,"Santa Ana, Anaheim/Orange County CoC",92673,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10115,27,6978,258.44444444444446
Father Joe's Villages San Diego Day Center,32.70822,-117.148394,299,17th St,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11337,23,7638,332.0869565217391
Cortez Hill Family Center,32.720693,-117.156128,1449,9th Ave,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11332,23,7638,332.0869565217391
San Diego Travelers Aid Society,32.705872,-117.149716,1501,Imperial Ave,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11331,23,7638,332.0869565217391
Rachel's Night Shelter For Women,32.7133,-117.157186,759,8th Ave,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11340,23,7638,332.0869565217391
Catholic Charities Diocese of San Diego,32.721796,-117.16147,349,Cedar St,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10886,23,7638,332.0869565217391
Nueva Vida Haven Emergency Shelter for Women and Children,32.724492,-117.163637,120,Elm St,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11329,23,7638,332.0869565217391
San Diego Rescue Mission Men's Center Long Term,32.724492,-117.163637,120,Elm St,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11330,23,7638,332.0869565217391
St. Vincet de Paul Village,32.705872,-117.149716,1501,Imperial Ave,San Diego,CA,San Diego City and County CoC,92101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9710,23,7638,332.0869565217391
Urban Street Angels at Mission Gathering Church,32.751618,-117.107381,4090,Polk Ave,San Diego,CA,San Diego City and County CoC,92105,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14943,23,7638,332.0869565217391
San Diego Residential Substance Abuse Recovery,32.747583,-117.128553,3806,Grim Ave,San Diego,CA,San Diego City and County CoC,92104,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11335,23,7638,332.0869565217391
Residential Treatment Recovery Housing,32.747583,-117.128553,3806,Grim Ave,San Diego,CA,San Diego City and County CoC,92104,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11334,23,7638,332.0869565217391
San Diego Maternity Shelter,32.766763,-117.138365,5005,Texas St,San Diego,CA,San Diego City and County CoC,92108,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11325,23,7638,332.0869565217391
Community Housing Partnership,37.781455,-122.411801,20,Jones St,San Francisco,CA,San Francisco CoC,94102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7340,18,8124,451.3333333333333
Lark Inn,37.783673,-122.420498,869,Ellis St,San Francisco,CA,San Francisco CoC,94109,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10042,18,8124,451.3333333333333
Tenderlion Housing Clinic,37.782196,-122.416494,449,Turk St,San Francisco,CA,San Francisco CoC,94102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8110,18,8124,451.3333333333333
Baker Places,37.77007,-122.407618,1000,Brannan St,San Francisco,CA,San Francisco CoC,94103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15169,18,8124,451.3333333333333
CityTeam San Francisco,37.77995,-122.407809,164,6th St,San Francisco,CA,San Francisco CoC,94103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10549,18,8124,451.3333333333333
W.O.M.A.N.,37.767687,-122.42169,333,Valencia St,San Francisco,CA,San Francisco CoC,94103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8207,18,8124,451.3333333333333
Episcopal Community Services,37.776917,-122.412297,165,8th St,San Francisco,CA,San Francisco CoC,94103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13275,18,8124,451.3333333333333
Compass Family Services,37.77861,-122.415956,37,Grove St,San Francisco,CA,San Francisco CoC,94102,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7350,18,8124,451.3333333333333
La Casa de Las Madres,37.771147,-122.419191,1663,Mission St,San Francisco,CA,San Francisco CoC,94103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7686,18,8124,451.3333333333333
MSC Shelter,37.777612,-122.399845,525,5th St,San Francisco,CA,San Francisco CoC,94107,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14936,18,8124,451.3333333333333
Raphael House,37.787763,-122.417695,1065,Sutter St,San Francisco,CA,San Francisco CoC,94109,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7899,18,8124,451.3333333333333
Next Door Shelter,37.78616,-122.419941,1001,Polk St,San Francisco,CA,San Francisco CoC,94109,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14364,18,8124,451.3333333333333
Mission Neighborhood Resource,37.764049,-122.418478,165,Capp St,San Francisco,CA,San Francisco CoC,94110,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14938,18,8124,451.3333333333333
St Joseph's Family Center,37.756965,-122.423063,899,Guerrero St,San Francisco,CA,San Francisco CoC,94110,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7538,18,8124,451.3333333333333
Asian Women's Shelter (AWS),37.76142,-122.422619,3543,18th St,San Francisco,CA,San Francisco CoC,94110,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7140,18,8124,451.3333333333333
Diamond Youth Shelter,37.774724,-122.444225,536,Central Ave,San Francisco,CA,San Francisco CoC,94117,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7390,18,8124,451.3333333333333
Providence Church Shelter,37.735809,-122.389619,1601,McKinnon Ave,San Francisco,CA,San Francisco CoC,94124,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15168,18,8124,451.3333333333333
Holy Ghost Service Center,37.721147,-122.401252,3230,San Bruno Ave,San Francisco,CA,San Francisco CoC,94134,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10269,18,8124,451.3333333333333
Family Promise of San Gabriel Valley,34.103751,-118.085848,1005,E Las Tunas Dr,San Gabriel,CA,Los Angeles City & County CoC,91776,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15460,63,63706,1011.2063492063492
HomeFirst Boccardo Family Living Center,37.087753,-121.612502,13545,Monterey Rd,San Martin,CA,San Jose/Santa Clara City & County CoC,95046,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7414,22,9605,436.59090909090907
Sacred Heart Community Services,37.316527,-121.874639,1381,S 1st St,San Jose,CA,San Jose/Santa Clara City & County CoC,95110,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7939,22,9605,436.59090909090907
LifeMoves Montgomery Street Inn,37.336828,-121.904277,358,N Montgomery St,San Jose,CA,San Jose/Santa Clara City & County CoC,95110,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7643,22,9605,436.59090909090907
Montgomery Street Inn Shelter,37.336828,-121.904277,358,N Montgomery St,San Jose,CA,San Jose/Santa Clara City & County CoC,95110,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14415,22,9605,436.59090909090907
City Team Ministry Rescue Mission,37.365087,-121.89578,1297,N 13th St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7314,22,9605,436.59090909090907
City Team Ministry Men's Shelter,37.364702,-121.89597,1174,Old Bayshore Hwy,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14669,22,9605,436.59090909090907
United States Mission Transitional Housing San Jose,37.331892,-121.88116,420,S 5th St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11349,22,9605,436.59090909090907
Heritage Home Shelter,37.344227,-121.894144,435,N 3rd St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10546,22,9605,436.59090909090907
Casa de Clara San Jose Catholic Worker,37.343653,-121.888498,318,N 6th St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7238,22,9605,436.59090909090907
Salvation Army Emmanuel House,37.34403,-121.892668,405,N 4th St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7953,22,9605,436.59090909090907
Next Door Solutions to Domestic Violence,37.359821,-121.904597,1181,N 4th St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7810,22,9605,436.59090909090907
LifeMoves Georgia Travis Center,37.359965,-121.900748,260,Commercial St,San Jose,CA,San Jose/Santa Clara City & County CoC,95112,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7644,22,9605,436.59090909090907
"County of Santa Clara, Office of Supportive Housing",37.273307,-121.880252,2310,N 1st St,San Jose,CA,San Jose/Santa Clara City & County CoC,95118,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15769,22,9605,436.59090909090907
HomeFirst Program San Jose,37.303195,-121.871055,2011,Little Orchard St,San Jose,CA,San Jose/Santa Clara City & County CoC,95125,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7413,22,9605,436.59090909090907
Asian Women's Home,37.316258,-121.935426,240,Moorpark Ave,San Jose,CA,San Jose/Santa Clara City & County CoC,95128,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7139,22,9605,436.59090909090907
CityTeam Ministries San Jose,37.3839,-121.918191,2306,Zanker Rd,San Jose,CA,San Jose/Santa Clara City & County CoC,95131,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10545,22,9605,436.59090909090907
Family Supportive Housing's San Jose Family Shelter,37.366361,-121.868319,692,N King Rd,San Jose,CA,San Jose/Santa Clara City & County CoC,95133,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8005,22,9605,436.59090909090907
Midway Shelter of Alameda,37.726363,-122.147886,1395,Bancroft Ave,San Leandro,CA,"Oakland, Berkeley/Alameda County CoC",94577,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8006,22,8137,369.8636363636364
40 Prado Road,35.256043,-120.672077,40,Prado Rd,San Luis Obispo,CA,San Luis Obispo County CoC,93401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15826,2,1423,711.5
LifeMoves First Step for Families,37.575518,-122.335484,325,Villa Ter,San Mateo,CA,Daly/San Mateo County CoC,94401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8030,13,1572,120.92307692307692
Society of Saint Vincent de Paul Homeless Help Center,37.568398,-122.325038,50,N B St,San Mateo,CA,Daly/San Mateo County CoC,94401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20420,13,1572,120.92307692307692
House of Hope Inc.,33.73589,-118.2821,235,W 9th St,San Pedro,CA,Los Angeles City & County CoC,90731,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10192,63,63706,1011.2063492063492
Shawl House,33.73543,-118.28339,936,S Centre St,San Pedro,CA,Los Angeles City & County CoC,90731,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14418,63,63706,1011.2063492063492
Harbor Rose Lodge,33.73132,-118.29221,1400,S Gaffey St,San Pedro,CA,Los Angeles City & County CoC,90731,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11233,63,63706,1011.2063492063492
St Vincent De Paul Homeless Help Desk,37.971714,-122.529533,822,B St,San Rafael,CA,Marin County CoC,94901,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14016,1,1032,1032.0
Santa Ana Hospitality House,33.746891,-117.859463,818,E 3rd St,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92701,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13790,27,6978,258.44444444444446
Orange County Catholic Worker,33.742813,-117.866744,316,S Cypress Ave,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92701,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15272,27,6978,258.44444444444446
Grandma's House of Hope,33.760245,-117.846949,206,N State College Blvd,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92705,https://www.homelessshelterdirectory.org/shelter/ca_grandmas-house-of-hope,27,6978,258.44444444444446
Grandma's House of Hope,33.760245,-117.846949,206,N State College Blvd,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92705,https://www.homelessshelterdirectory.org/shelter/ca_grandmas-house-of-hope,27,6978,258.44444444444446
WISEPlace,33.757167,-117.86906,1411,N Broadway,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92706,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15261,27,6978,258.44444444444446
Santa Ana Armory Cold Weather Shelter,33.715082,-117.862104,612,E Warner Ave,Santa Ana,CA,"Santa Ana, Anaheim/Orange County CoC",92707,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15270,27,6978,258.44444444444446
Transition House,34.422344,-119.692135,425,E Cota St,Santa Barbara,CA,Santa Maria/Santa Barbara County CoC,93101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=8157,9,1897,210.77777777777777
Santa Barbara Hospitality House,34.414877,-119.695678,423,Chapala St,Santa Barbara,CA,Santa Maria/Santa Barbara County CoC,93101,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13789,9,1897,210.77777777777777
Casa Esperanza,34.418905,-119.676574,816,Cacique St,Santa Barbara,CA,Santa Maria/Santa Barbara County CoC,93103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13388,9,1897,210.77777777777777
Santa Barbara Casa Esperanza Homeless Center,34.418905,-119.676574,816,Cacique St,Santa Barbara,CA,Santa Maria/Santa Barbara County CoC,93103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14583,9,1897,210.77777777777777
Santa Barbara Rescue Mission,34.419223,-119.684404,535,E Yanonali St,Santa Barbara,CA,Santa Maria/Santa Barbara County CoC,93103,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14582,9,1897,210.77777777777777
Bridge to Home Homeless Shelter,34.41123,-118.540487,23031,Drayton St,Santa Clarita,CA,Los Angeles City & County CoC,91350,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14732,63,63706,1011.2063492063492
Homeless Services Center,36.984846,-122.030474,115,Coral St,Santa Cruz,CA,Watsonville/Santa Cruz City & County CoC,95060,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7602,3,2256,752.0
Central Coast Rescue Mission Substance Abuse And Homeless Services,34.964246,-120.433526,1207,N McClelland St,Santa Maria,CA,Santa Maria/Santa Barbara County CoC,93454,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11373,9,1897,210.77777777777777
Santa Maria Emergency Shelter Campus,34.943892,-120.441023,401,W Morrison Ave,Santa Maria,CA,Santa Maria/Santa Barbara County CoC,93458,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14581,9,1897,210.77777777777777
The People Concern Access Center,34.013654,-118.489091,505,Olympic Blvd,Santa Monica,CA,Los Angeles City & County CoC,90401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14419,63,63706,1011.2063492063492
Harvest Home,34.032125,-118.482017,2118,Wilshire Blvd,Santa Monica,CA,Los Angeles City & County CoC,90403,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15008,63,63706,1011.2063492063492
SPIRIT of Santa Paula Drop In Center,34.354233,-119.061046,113,N Mill St,Santa Paula,CA,"Oxnard, San Buenaventura/Ventura County CoC",93060,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15569,6,1787,297.8333333333333
Redwood Gospel Mission Rescue Mission,38.438998,-122.721541,101,6th St,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10782,11,2745,249.54545454545453
Catholic Charities Homeless Services Center,38.440732,-122.719603,600,Morgan St,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10780,11,2745,249.54545454545453
Family Support Center,38.440976,-122.719124,465,A St,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15979,11,2745,249.54545454545453
The SAY Dream Center For Youths,38.475598,-122.737462,3440,Airway Dr,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95403,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14017,11,2745,249.54545454545453
The Rose,38.438998,-122.721541,101,6th St,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10281,11,2745,249.54545454545453
The Living Room Day Shelter For Women,38.447286,-122.726868,1207,Cleveland Ave,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95401,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14015,11,2745,249.54545454545453
Community Support Network Opportunity House,38.427832,-122.70928,634,Pressley St,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95404,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10781,11,2745,249.54545454545453
InterFaith Shelter Network,38.434222,-122.691591,2455,Bennett Valley Rd,Santa Rosa,CA,"Santa Rosa, Petaluma/Sonoma County CoC",95404,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15980,11,2745,249.54545454545453
Santee Food Bank,32.854809,-116.9929,9715,Halberns Blvd,Santee,CA,San Diego City and County CoC,92071,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20428,23,7638,332.0869565217391
Safe Harbor Shelter,37.639033,-122.394187,295,N Access Rd,South San Francisco,CA,Daly/San Mateo County CoC,94080,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15496,13,1572,120.92307692307692
Illumination Foundation Stanton Multi,33.803155,-117.995696,7855,Katella Ave,Stanton,CA,"Santa Ana, Anaheim/Orange County CoC",90680,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15394,27,6978,258.44444444444446
Stockton Shelter for the Homeless,37.947028,-121.297895,411,S Harrison St,Stockton,CA,Stockton/San Joaquin County CoC,95203,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14093,3,2677,892.3333333333334
Hope of the Valley Rescue Mission,34.218661,-118.368673,8165,San Fernando Rd,Sun Valley,CA,Los Angeles City & County CoC,91352,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14713,63,63706,1011.2063492063492
Community House Sylmar,34.310645,-118.432993,13770,Sayre St,Sylmar,CA,Los Angeles City & County CoC,91342,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15725,63,63706,1011.2063492063492
Project TOUCH,33.510726,-117.140305,42036,Moraga Rd,Temecula,CA,Riverside City & County CoC,92591,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15361,12,2884,240.33333333333334
Temecula Murrieta Rescue Mission,33.528618,-117.15935,40810,County Center Dr,Temecula,CA,Riverside City & County CoC,92591,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20324,12,2884,240.33333333333334
Emerson House,37.748553,-121.426512,26,W Emerson Ave,Tracy,CA,Stockton/San Joaquin County CoC,95376,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13105,3,2677,892.3333333333334
Lighthouse Rescue Mission Women and Children Shelter,36.206118,-119.348984,111,W Kern Ave,Tulare,CA,"Visalia/Kings, Tulare Counties CoC",93274,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13772,6,1297,216.16666666666666
Turlock Gospel Mission Shelter,37.492427,-120.840683,1030,East Ave,Turlock,CA,"Turlock, Modesto/Stanislaus County CoC",95380,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14063,8,2107,263.375
Orange County Rescue Mission,33.745469,-117.830637,,One Hope Dr,Tustin,CA,"Santa Ana, Anaheim/Orange County CoC",92780,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9936,27,6978,258.44444444444446
Tustin Temporary Emergency Shelter,33.704136,-117.841195,2345,Barranca Pkwy,Tustin,CA,"Santa Ana, Anaheim/Orange County CoC",92782,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15727,27,6978,258.44444444444446
Foothill Family Shelter,34.096378,-117.679776,1501,W 9th St,Upland,CA,San Bernardino City & County CoC,91786,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11247,14,3125,223.21428571428572
Opportunity House,38.36605,-121.976479,267,Bennett Hill Ct,Vacaville,CA,Vallejo/Solano County CoC,95688,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14243,3,1162,387.3333333333333
Christian Help Center,38.118877,-122.25911,2166,Sacramento St,Vallejo,CA,Vallejo/Solano County CoC,94590,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15314,3,1162,387.3333333333333
St Joseph Center Homeless Services And Meals,33.998086,-118.478322,204,Hampton Dr,Venice,CA,Los Angeles City & County CoC,90291,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11235,63,63706,1011.2063492063492
Our Place Shelter,34.278035,-119.29251,536,E Thompson Blvd,Ventura,CA,"Oxnard, San Buenaventura/Ventura County CoC",93001,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10489,6,1787,297.8333333333333
Ventura Transitional Living Center,34.278803,-119.29503,155,S Oak St,Ventura,CA,"Oxnard, San Buenaventura/Ventura County CoC",93001,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13791,6,1787,297.8333333333333
Project Understanding Homeless to Home (H2H),34.294293,-119.296173,43,E Vince St,Ventura,CA,"Oxnard, San Buenaventura/Ventura County CoC",93001,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=12957,6,1787,297.8333333333333
As One Transitional Living,34.482408,-117.351662,12759,Petaluma Rd,Victorville,CA,San Bernardino City & County CoC,92392,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14023,14,3125,223.21428571428572
Set Free Victorville,34.563438,-117.314616,16949,D St,Victorville,CA,San Bernardino City & County CoC,92395,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9472,14,3125,223.21428571428572
A1 Q's Place of Peace,34.538723,-117.317815,15846,Cazadero Rd,Victorville,CA,San Bernardino City & County CoC,92394,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14621,14,3125,223.21428571428572
Visalia Rescue Mission,36.335806,-119.2873,500,E Race Ave,Visalia,CA,"Visalia/Kings, Tulare Counties CoC",93292,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13771,6,1297,216.16666666666666
Operation HOPE,33.209612,-117.233404,859,E Vista Way,Vista,CA,San Diego City and County CoC,92084,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14045,23,7638,332.0869565217391
Trinity Center,37.894554,-122.062579,1271,S California Blvd,Walnut Creek,CA,Richmond/Contra Costa County CoC,94596,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15555,16,2277,142.3125
Pajaro Valley Shelter Services,36.914655,-121.759278,115,Brennan St,Watsonville,CA,Watsonville/Santa Cruz City & County CoC,95076,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7860,3,2256,752.0
The Salvation Army Watsonville CA,36.90925,-121.75396,214,Union St,Watsonville,CA,Watsonville/Santa Cruz City & County CoC,95076,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11814,3,2256,752.0
Pajaro Rescue Mission,36.897235,-121.740551,111,Railroad Ave,Royal Oaks,CA,"Salinas/Monterey, San Benito Counties CoC",95076,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7859,5,2683,536.6
WLCAC Homeless Access Center,33.93574,-118.25399,10950,S Central Ave,Los Angeles,CA,Los Angeles City & County CoC,90059,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11238,63,63706,1011.2063492063492
Doors Of Hope Women's Shelter,33.776638,-118.261031,529,Broad Ave,Wilmington,CA,Los Angeles City & County CoC,90744,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13710,63,63706,1011.2063492063492
Beacon Light Mission,33.776507,-118.261019,525,Broad Ave,Wilmington,CA,Los Angeles City & County CoC,90744,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=13709,63,63706,1011.2063492063492
Lane Street Effort,41.730717,-122.640015,417,Lane St,Yreka,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",96097,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=10294,2,1529,764.5
Hands of Hope,39.135474,-121.628217,909,Spiva Ave,Yuba City,CA,Yuba City & County/Sutter County CoC,95991,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15877,1,721,721.0
Salvation Army Booth House,38.892763,-90.183858,114,E 5th St,Alton,IL,Madison County CoC,62002,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14113,3,79,26.333333333333332
